Position,Track Name,Artist,Streams,URL,Date,Unique ID
114,Liar,Camila Cabello,6102634,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA,01.02.20,
115,Woah,Lil Baby,6080808,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,01.02.20,
116,High Hopes,Panic! At The Disco,6066722,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,01.02.20,
117,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,6052309,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,01.02.20,
118,Higher Love,Kygo,6027989,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,01.02.20,
119,July,Noah Cyrus,6002645,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,01.02.20,
120,Suge,DaBaby,5976571,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,01.02.20,
121,Que Calor (with J Balvin & El Alfa),Major Lazer,5886683,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3,01.02.20,
122,Better Now,Post Malone,5815158,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,01.02.20,
123,223's (feat. 9lokknine),YNW Melly,5802073,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,01.02.20,
124,Family,The Chainsmokers,5767152,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL,01.02.20,
125,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,5759111,https://open.spotify.com/track/7ntUbTIwmwOD6ygCMRZT6e,01.02.20,
126,Legends,Juice WRLD,5721876,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa,01.02.20,
127,Say So,Doja Cat,5656539,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,01.02.20,
128,Candy,Doja Cat,5632102,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be,01.02.20,
129,Eastside (with Halsey & Khalid),benny blanco,5615316,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,01.02.20,
130,God's Plan,Drake,5610279,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,01.02.20,
131,Turn Me On (feat. Vula),Riton,5587052,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9,01.02.20,
132,ocean eyes,Billie Eilish,5572164,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,01.02.20,
133,Calma - Remix,Pedro Capó,5540299,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,01.02.20,
134,Panini,Lil Nas X,5528812,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv,01.02.20,
135,Talk (feat. Disclosure),Khalid,5527007,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,01.02.20,
136,Otro Trago - Remix,Sech,5497365,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,01.02.20,
137,Stuck In A Dream (feat. Gunna),Lil Mosey,5486588,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,01.02.20,
138,Don't Stop Me Now - 2011 Mix,Queen,5452916,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,01.02.20,
139,Nice To Meet Ya,Niall Horan,5438167,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H,01.02.20,
140,Don't Call Me Up,Mabel,5400983,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,01.02.20,
141,Closer,The Chainsmokers,5373658,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,01.02.20,
142,goosebumps,Travis Scott,5367671,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,01.02.20,
143,JACKBOYS,JACKBOYS,5363493,https://open.spotify.com/track/62zKJrpbLxz6InR3tGyr7o,01.02.20,
144,Perfect,Ed Sheeran,5359303,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,01.02.20,
145,One Kiss (with Dua Lipa),Calvin Harris,5322598,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,01.02.20,
146,QUE PRETENDES,J Balvin,5322063,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,01.02.20,
147,Say You Won't Let Go,James Arthur,5310870,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,01.02.20,
