Position,Track Name,Artist,Streams,URL,Date
155,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,5429484,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,01.30.20
156,3 Nights,Dominic Fike,5400513,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX,01.30.20
157,Pa' Olvidarme De Ella,Piso 21,5390741,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh,01.30.20
158,goosebumps,Travis Scott,5388863,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,01.30.20
159,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,5385917,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,01.30.20
160,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,5350993,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,01.30.20
161,Tudo Ok,Thiaguinho MT,5335545,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS,01.30.20
162,Moonlight,XXXTENTACION,5302672,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,01.30.20
163,Better Now,Post Malone,5299457,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,01.30.20
164,Zu Ende,Samra,5297101,https://open.spotify.com/track/0Vl4eICpXMjtiK0RhdaWov,01.30.20
165,Only Human,Jonas Brothers,5296878,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk,01.30.20
166,Suge,DaBaby,5258099,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,01.30.20
167,you should see me in a crown,Billie Eilish,5254770,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d,01.30.20
168,QUE PRETENDES,J Balvin,5250393,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,01.30.20
169,Maniac,Conan Gray,5230498,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP,01.30.20
170,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,5221844,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6,01.30.20
171,B.I.T.C.H.,Megan Thee Stallion,5215211,https://open.spotify.com/track/06scTb0zbkxYNgpAB3J9fN,01.30.20
172,Con Calma,Daddy Yankee,5206586,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,01.30.20
173,Turn Me On (feat. Vula),Riton,5200838,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9,01.30.20
174,If I Can't Have You,Shawn Mendes,5178123,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,01.30.20
175,High Hopes,Panic! At The Disco,5178083,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,01.30.20
176,Otro Trago - Remix,Sech,5163820,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,01.30.20
177,MIDDLE CHILD,J. Cole,5163035,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,01.30.20
178,I Like Me Better,Lauv,5154352,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,01.30.20
179,All of Me,John Legend,5136049,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,01.30.20
180,Be Alright,Dean Lewis,5124935,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,01.30.20
181,Takeaway,The Chainsmokers,5108548,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw,01.30.20
182,I.F.L.Y.,Bazzi,5105012,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD,01.30.20
183,Liar,Camila Cabello,5103448,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA,01.30.20
184,Talk (feat. Disclosure),Khalid,5091782,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,01.30.20
185,Look At Her Now,Selena Gomez,5066377,https://open.spotify.com/track/7eOkHIcaoUhngxxypM5Ajr,01.30.20
186,Youngblood,5 Seconds of Summer,5063528,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,01.30.20
187,Bi Sonraki Hayatımda Gel,Murda,5037967,https://open.spotify.com/track/7BjmOMyfT4PBKbZuSCwWPc,01.30.20
188,Panini,Lil Nas X,5024175,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv,01.30.20
