,,Position,Position,Position
,,count,min,max
The Pogues,Fairytale of New York (feat. Kirsty MacColl),1,132,132
The Ronettes,Frosty the Snowman,1,192,192
The Ronettes,Sleigh Ride,4,69,164
The Strokes,Brooklyn Bridge To Chorus,1,194,194
The Strokes,The Adults Are Talking,1,179,179
The Weeknd,After Hours,15,2,183
The Weeknd,Alone Again,3,7,171
The Weeknd,Blinding Lights,47,1,31
The Weeknd,Call Out My Name,2,177,197
The Weeknd,Escape From LA,3,14,170
The Weeknd,Faith,3,15,161
The Weeknd,Hardest To Love,3,9,135
The Weeknd,Heartless,32,1,168
The Weeknd,In Your Eyes,19,3,156
The Weeknd,In Your Eyes (feat. Kenny G) - Remix,1,200,200
The Weeknd,In Your Eyes (with Doja Cat) - Remix,1,68,68
The Weeknd,Nothing Compares - Bonus Track,1,199,199
The Weeknd,Repeat After Me (Interlude),2,37,154
The Weeknd,Save Your Tears,6,11,190
The Weeknd,Scared To Live,3,8,138
The Weeknd,Snowchild,3,13,177
The Weeknd,Starboy,1,196,196
The Weeknd,Too Late,3,10,174
The Weeknd,Until I Bleed Out,1,38,38
Thomas Rhett,Beer Can’t Fix,4,144,176
Thomas Rhett,On Me (feat. Ava Max) - From 'SCOOB!' The Album,10,114,188
Thurl Ravenscroft,"You're A Mean One, Mr. Grinch - From Dr. Seuss' 'How The Grinch Stole Christmas'",1,118,118
Tones And I,Dance Monkey,52,7,169
Tones And I,Never Seen the Rain,6,140,194
Tony Bennett,Winter Wonderland,1,151,151
Topic,Breaking Me,22,52,193
Tory Lanez,10 F*CKS (with Mansa),1,177,177
Tory Lanez,Beauty In The Benz (feat. Snoop Dogg),1,141,141
Tory Lanez,Broke In A Minute,22,33,200
Tory Lanez,Do The Most,2,137,166
Tory Lanez,Jerry Sprunger (with T-Pain),3,38,103
Tory Lanez,Stupid Again,2,37,146
Tory Lanez,Temperature Rising,4,88,192
Tory Lanez,The Take (feat. Chris Brown),4,139,188
Tory Lanez,Who Needs Love,2,102,134
Travis Scott,BUTTERFLY EFFECT,2,61,156
Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),4,6,46
Travis Scott,HIGHEST IN THE ROOM,52,1,96
Travis Scott,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,7,10,107
Travis Scott,SICKO MODE,52,12,151
Travis Scott,STARGAZING,3,43,197
Travis Scott,"The Plan - From the Motion Picture ""TENET""",2,42,91
Travis Scott,YOSEMITE,1,104,104
Travis Scott,goosebumps,51,8,185
Trevor Daniel,Falling,49,5,125
Trevor Daniel,Past Life (with Selena Gomez),3,150,186
Trippie Redd,1400 / 999 Freestyle,3,122,191
Trippie Redd,6 Kiss,13,13,181
Trippie Redd,All For Me,1,198,198
Trippie Redd,Death,15,30,196
Trippie Redd,Death (feat. DaBaby),1,59,59
Trippie Redd,Excitement,8,68,183
Trippie Redd,Hate Me,1,63,63
Trippie Redd,Leray,1,109,109
Trippie Redd,Love Me More,9,40,182
Trippie Redd,Love Sick,1,87,87
Trippie Redd,Real Feel,1,120,120
Trippie Redd,Sickening,1,200,200
Trippie Redd,Sleepy Hollow,2,50,121
Trippie Redd,The Grinch,1,163,163
Trippie Redd,The Way,1,103,103
Trippie Redd,This Ain't That,1,110,110
Trippie Redd,Til The End of Time,1,166,166
Trippie Redd,U Deserve It,1,173,173
Trippie Redd,Who Needs Love,5,24,200
Trippie Redd,YELL OH,1,62,62
Troye Sivan,Take Yourself Home,1,197,197
Twenty One Pilots,Level of Concern,8,15,121
Ty Dolla Sign,By Yourself (feat. Jhené Aiko & Mustard),1,141,141
Ty Dolla Sign,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",3,84,155
Ty Dolla Sign,Expensive (feat. Nicki Minaj),1,98,98
Tyga,Ayy Macarena,6,151,194
Tyga,MAMACITA,1,95,95
Tyga,VACATION,3,18,186
Tyla Yaweh,Stuntin' On You (feat. DaBaby),2,196,196
Tyla Yaweh,Tommy Lee (feat. Post Malone),6,15,197
"Tyler, The Creator",EARFQUAKE,39,69,194
Vedo,You Got It,6,81,119
Vince Guaraldi Trio,Christmas Time Is Here - Vocal,1,105,105
Vince Guaraldi Trio,O Tannenbaum,2,92,199
WILLOW,Wait a Minute!,11,153,200
Wale,On Chill (feat. Jeremih),1,197,197
Wallows,Are You Bored Yet? (feat. Clairo),24,70,193
Wham!,Last Christmas,7,12,180
WhoHeem,Lets Link,8,47,172
Why Don't We,What Am I,3,170,199
XXXTENTACION,Everybody Dies In Their Nightmares,4,191,200
XXXTENTACION,Ex Bitch,1,85,85
XXXTENTACION,Fuck Love (feat. Trippie Redd),49,118,196
XXXTENTACION,HEARTEATER,1,141,141
XXXTENTACION,Hope,3,191,196
XXXTENTACION,Jocelyn Flores,52,67,163
XXXTENTACION,Moonlight,47,135,200
XXXTENTACION,Riot,1,73,73
XXXTENTACION,SAD!,52,76,158
XXXTENTACION,bad vibes forever,4,49,145
XXXTENTACION,changes,10,167,200
Y2K,Lalala,28,57,199
YG,FTP,3,89,193
YG,SWAG,1,79,79
YNW Melly,223's (feat. 9lokknine),36,7,179
YNW Melly,Bang Bang,2,54,162
YNW Melly,Murder On My Mind,48,61,199
YNW Melly,Suicidal,32,6,193
YNW Melly,Suicidal (Remix) [feat. Juice WRLD],28,21,187
Yandel,CANCIÓN CON YANDEL,1,120,120
Young Thug,Bad Bad Bad (feat. Lil Baby),11,47,177
Young Thug,Hop Off A Jet (feat. Travis Scott),5,61,188
Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],18,12,174
Young Thug,Hot (feat. Gunna),18,22,199
Young Thug,Millions,3,117,161
Young Thug,The London (feat. J. Cole & Travis Scott),36,45,195
YoungBoy Never Broke Again,All In,1,109,109
YoungBoy Never Broke Again,Drug Addiction,1,141,141
YoungBoy Never Broke Again,Fine By Time,1,149,149
YoungBoy Never Broke Again,Hot Now,5,93,192
YoungBoy Never Broke Again,Kacey Talk,9,80,184
YoungBoy Never Broke Again,Knocked Off,2,91,177
YoungBoy Never Broke Again,Lil Top,1,117,117
YoungBoy Never Broke Again,Make No Sense,30,28,195
YoungBoy Never Broke Again,My Window (feat. Lil Wayne),2,38,137
YoungBoy Never Broke Again,One Shot (feat. Lil Baby) - From Road To Fast 9 Mixtape,1,148,148
YoungBoy Never Broke Again,Red Eye,1,56,56
YoungBoy Never Broke Again,Self Control,7,75,192
YoungBoy Never Broke Again,Thug Of Spades (feat. DaBaby),1,134,134
Yung Bleu,You’re Mines Still (feat. Drake),1,123,123
ZAYN,Better,1,63,63
Zac Brown Band,Chicken Fried,1,145,145
Zedd,Funny,1,181,181
Zedd,Good Thing (with Kehlani),5,58,130
benny blanco,Eastside (with Halsey & Khalid),28,114,193
benny blanco,Graduation (with Juice WRLD),7,80,199
benny blanco,Roses (with Juice WRLD feat. Brendon Urie),1,138,138
blackbear,hot girl bummer,52,8,97
blackbear,if i were u (with Lauv),1,98,98
blackbear,me & ur ghost,7,60,158
blackbear,queen of broken hearts,1,185,185
girl in red,we fell in love in october,2,181,185
iann dior,Pretty Girls,1,183,183
iann dior,Prospect (ft. Lil Baby),17,42,192
iann dior,Sick and Tired,2,100,181
iann dior,Sick and Tired (ft. Machine Gun Kelly and Travis Barker),1,144,144
iann dior,gone girl,2,155,191
jxdn,Angels & Demons,1,127,127
salem ilese,Mad at Disney,7,56,113
