,,Position,Position,Position
,,count,min,max
Dan + Shay,Tequila,17,174,200
Darlene Love,Christmas (Baby Please Come Home),3,28,152
Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version,3,102,195
Dean Lewis,Be Alright,4,177,192
Dean Martin,"Baby, It's Cold Outside",4,59,162
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,4,58,140
Dean Martin,Rudolph The Red-Nosed Reindeer,1,183,183
Dean Martin,Silver Bells,1,120,120
Delacey,Cruel Intentions,3,57,192
Demi Lovato,Anyone,2,77,152
Demi Lovato,I Love Me,5,35,114
Diplo,Dance with Me (feat. Thomas Rhett & Young Thug),1,188,188
Diplo,Heartless (feat. Morgan Wallen),52,67,196
Diplo,Lonely,3,133,190
Doja Cat,Boss Bitch,18,39,193
Doja Cat,Candy,6,71,182
Doja Cat,Freak,1,125,125
Doja Cat,Juicy,19,66,196
Doja Cat,Like That (feat. Gucci Mane),20,81,196
Doja Cat,Rules,1,191,191
Doja Cat,Say So,41,3,198
Doja Cat,Say So (feat. Nicki Minaj),8,19,99
Don Toliver,After Party,29,13,122
Don Toliver,Cardigan,3,43,180
Don Toliver,Euphoria (feat. Travis Scott & Kaash Paige),1,149,149
Don Toliver,Had Enough (feat. Quavo & Offset),6,15,157
Don Toliver,No Idea,32,17,198
Donny Hathaway,This Christmas,2,76,167
Drake,Behind Barz - Bonus,6,83,187
Drake,Chicago Freestyle (feat. Giveon),25,10,174
Drake,Deep Pockets,1,28,28
Drake,Demons (feat. Fivio Foreign & Sosa Geek),2,16,60
Drake,Desires (with Future),2,18,141
Drake,From Florida With Love,1,31,31
Drake,God's Plan,2,137,185
Drake,Landed,2,26,186
Drake,Laugh Now Cry Later (feat. Lil Durk),10,2,7
Drake,Losses,1,40,40
Drake,Money In The Grave (Drake ft. Rick Ross),48,25,194
Drake,Not You Too (feat. Chris Brown),1,20,20
Drake,Pain 1993 (with Playboi Carti),6,3,158
Drake,Time Flies,2,17,114
Drake,Toosie Slide,29,1,124
Drake,War,1,42,42
Drake,When To Say When,1,29,29
Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby),1,200,200
DripReport,Skechers,12,57,197
Dua Lipa,Break My Heart,27,14,188
Dua Lipa,Cool,1,110,110
Dua Lipa,Don't Start Now,51,5,162
Dua Lipa,Future Nostalgia,1,138,138
Dua Lipa,Good In Bed,1,170,170
Dua Lipa,Hallucinate,1,90,90
Dua Lipa,Levitating,1,80,80
Dua Lipa,Levitating (feat. DaBaby),3,56,139
Dua Lipa,Love Again,1,142,142
Dua Lipa,Physical,16,31,187
Dua Lipa,Pretty Please,1,100,100
"Earth, Wind & Fire",September,1,86,86
Eartha Kitt,Santa Baby (with Henri René & His Orchestra),4,71,174
Ed Sheeran,Beautiful People (feat. Khalid),26,42,193
Ed Sheeran,I Don't Care (with Justin Bieber),22,94,187
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),10,74,169
Ella Fitzgerald,Frosty The Snowman,1,193,193
Ella Fitzgerald,Sleigh Ride,1,116,116
Ellie Goulding,Hate Me (with Juice WRLD),38,26,186
Elton John,Step Into Christmas,1,124,124
Elvis Presley,Blue Christmas,4,35,90
Eminem,Alfred - Interlude,1,71,71
Eminem,Alfred - Outro,1,179,179
Eminem,Darkness,2,24,84
Eminem,Farewell,1,74,74
Eminem,Godzilla (feat. Juice WRLD),40,2,166
Eminem,"I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)",1,88,88
Eminem,In Too Deep,2,42,174
Eminem,Leaving Heaven (feat. Skylar Grey),2,45,159
Eminem,Little Engine,1,72,72
Eminem,Lock It Up (feat. Anderson .Paak),2,59,162
Eminem,Marsh,2,61,186
Eminem,Never Love Again,1,75,75
