Unnamed: 0,Unnamed: 1,Unnamed: 2,,,,
Position,Track Name,Artist,Streams,URL,Date,Unique ID
104,Before You Go,Lewis Capaldi,2173043,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,01.02.20,01.02.20_104
105,RITMO (Bad Boys For Life),Black Eyed Peas,2157137,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,01.02.20,01.02.20_105
106,"thank u, next",Ariana Grande,2126623,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,01.02.20,01.02.20_106
107,F.N,Lil Tjay,2118567,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu,01.02.20,01.02.20_107
108,Cash Shit (feat. DaBaby),Megan Thee Stallion,2107416,https://open.spotify.com/track/2rMAtCaTj16NptyVfEIeAC,01.02.20,01.02.20_108
109,Better Now,Post Malone,2102761,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,01.02.20,01.02.20_109
110,Ransom (with Juice WRLD) - Remix,Lil Tecca,2080822,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp,01.02.20,01.02.20_110
111,Jocelyn Flores,XXXTENTACION,2075027,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,01.02.20,01.02.20_111
112,I Fall Apart,Post Malone,2071892,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,01.02.20,01.02.20_112
113,I Don't Care (with Justin Bieber),Ed Sheeran,2071194,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,01.02.20,01.02.20_113
114,Lean Wit Me,Juice WRLD,2070879,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa,01.02.20,01.02.20_114
115,Trampoline,SHAED,2067884,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS,01.02.20,01.02.20_115
116,Sucker,Jonas Brothers,2063509,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,01.02.20,01.02.20_116
117,Maniac,Conan Gray,2060096,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP,01.02.20,01.02.20_117
118,Juicy,Doja Cat,2056983,https://open.spotify.com/track/7f5trao56t7sB7f14QDTmp,01.02.20,01.02.20_118
119,Hop Off A Jet (feat. Travis Scott),Young Thug,2056332,https://open.spotify.com/track/3RZftiuTcLOqpsd8ZlwNhr,01.02.20,01.02.20_119
120,All Me (feat. Keyshia Cole),Kehlani,2036298,https://open.spotify.com/track/3ucRKbRlikYHyoI17gfR0c,01.02.20,01.02.20_120
121,Heartless (feat. Morgan Wallen),Diplo,2024415,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt,01.02.20,01.02.20_121
122,Famous Hoes,NLE Choppa,1992735,https://open.spotify.com/track/35Xf2ABjPzUXKz19akd7Jj,01.02.20,01.02.20_122
123,Sanguine Paradise,Lil Uzi Vert,1961298,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN,01.02.20,01.02.20_123
124,Heart On Ice,Rod Wave,1959188,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD,01.02.20,01.02.20_124
125,Up All Night,Khalid,1953411,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74,01.02.20,01.02.20_125
126,Somebody,Internet Money,1952035,https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi,01.02.20,01.02.20_126
127,One Thing Right,Marshmello,1941929,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,01.02.20,01.02.20_127
