Unnamed: 0,Unnamed: 1,Unnamed: 2,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,Unnamed: 4
Position,Track Name,Artist,Streams,URL
126,Lights Up,Harry Styles,1955402,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
127,Armed And Dangerous,Juice WRLD,1948917,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
128,I Don't Care (with Justin Bieber),Ed Sheeran,1947039,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
129,VALENTINO,24kGoldn,1945712,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
130,I Hope,Gabby Barrett,1944662,https://open.spotify.com/track/2Hc4t9N2nt37oO4sF9BynI
131,Panini,Lil Nas X,1943211,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
132,Falling,Harry Styles,1931200,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
133,Talk (feat. Disclosure),Khalid,1915358,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
134,You Need To Calm Down,Taylor Swift,1912917,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
135,Blue World,Mac Miller,1909374,https://open.spotify.com/track/2hwOoMtWPtTSSn6WHV7Vp5
136,Sanguine Paradise,Lil Uzi Vert,1898744,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
137,How I Move (feat. Lil Baby),Flipp Dinero,1898510,https://open.spotify.com/track/14X1WxiHXdVRJ99cMCBzOE
138,Eastside (with Halsey & Khalid),benny blanco,1897652,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
139,XO Tour Llif3,Lil Uzi Vert,1896778,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
140,Never Seen the Rain,Tones And I,1895109,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
141,Beautiful Crazy,Luke Combs,1895102,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
142,Juicy,Doja Cat,1882300,https://open.spotify.com/track/7f5trao56t7sB7f14QDTmp
143,Sucker,Jonas Brothers,1881740,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
144,Fuck Love (feat. Trippie Redd),XXXTENTACION,1877763,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
145,goosebumps,Travis Scott,1876513,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
146,Believe (feat. Justin Timberlake),Meek Mill,1860973,https://open.spotify.com/track/6fvqvUQr12qghH4N8gpAch
147,Whiskey Glasses,Morgan Wallen,1854843,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
148,Speechless,Dan + Shay,1852061,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
149,i love you,Billie Eilish,1848378,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
150,Old Town Road - Remix,Lil Nas X,1842333,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
151,It's You,Ali Gatie,1827574,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
152,Heartless (feat. Morgan Wallen),Diplo,1825240,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
153,Shake The Room (feat. Quavo),Pop Smoke,1824455,https://open.spotify.com/track/7rSnKi58HPIVC0FVyh04Q1
154,bury a friend,Billie Eilish,1818882,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
155,Lean Wit Me,Juice WRLD,1818191,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
156,Eleven,Khalid,1815496,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
157,Hot (feat. Gunna),Young Thug,1812796,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
158,Happier,Marshmello,1793656,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
159,Cash Shit (feat. DaBaby),Megan Thee Stallion,1793358,https://open.spotify.com/track/2rMAtCaTj16NptyVfEIeAC
160,Moonlight,XXXTENTACION,1788104,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
161,Yes Indeed,Lil Baby,1777558,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
162,The Less I Know The Better,Tame Impala,1757951,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
163,Diva (feat. Lil Tecca),The Kid LAROI,1757439,https://open.spotify.com/track/7gVwgc8b3XnO87TpmXXFA5
164,Better,Khalid,1746286,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
165,Best Part (feat. Daniel Caesar),H.E.R.,1738853,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
166,Graveyard,Halsey,1736600,https://open.spotify.com/track/2ufmtcIFdFpuUYBPXK5f67
167,Ransom (with Juice WRLD) - Remix,Lil Tecca,1725750,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
168,I.F.L.Y.,Bazzi,1708537,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
169,Pure Water (with Migos),Mustard,1705482,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
170,Say You Won't Let Go,James Arthur,1705414,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
171,Callaita,Bad Bunny,1703311,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
172,P*$$Y Fairy (OTW),Jhené Aiko,1682394,https://open.spotify.com/track/48KXAIruJ07kJVCWOGohMV
173,Congratulations,Post Malone,1682012,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
174,UP THE SMOKE (with Offset),Stunna 4 Vegas,1680362,https://open.spotify.com/track/3faAAUxohrxqYhPlneZ3XV
175,6 Kiss,Trippie Redd,1678190,https://open.spotify.com/track/7tgjDlQsMR8RvkdlNCJA58
176,"thank u, next",Ariana Grande,1676242,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
177,Into the Unknown,Idina Menzel,1675787,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
178,Envy Me,Calboy,1674392,https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx
179,wish you were gay,Billie Eilish,1674164,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
180,Heart On Ice,Rod Wave,1671420,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD
181,Lottery (Renegade),K CAMP,1669641,https://open.spotify.com/track/4dZTZbmJBCCofAExHwefda
182,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,1667930,https://open.spotify.com/track/6ztvsy3C6hPjVg9j4x1XKJ
183,Let Me Know (I Wonder Why Freestyle),Juice WRLD,1662142,https://open.spotify.com/track/3wwo0bJvDSorOpNfzEkfXx
184,20 Min,Lil Uzi Vert,1656110,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
185,Bruises,Lewis Capaldi,1655603,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
186,Birthday,Anne-Marie,1650168,https://open.spotify.com/track/5hff5RQeE84pznOt8WEWeO
187,Noticed,Lil Mosey,1649736,https://open.spotify.com/track/7zLYKWcXnYeHHWidalz7rj
188,No Role Modelz,J. Cole,1644768,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
189,Faucet Failure,Ski Mask The Slump God,1633724,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
190,Get You The Moon (feat. Snøw),Kina,1615642,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
191,a lot,21 Savage,1604452,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
192,I Like Me Better,Lauv,1598304,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
193,Boss Bitch,Doja Cat,1592039,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
194,Ayy Macarena,Tyga,1590185,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
195,LA CANCIÓN,J Balvin,1586906,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
196,Hope,XXXTENTACION,1585645,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
197,you should see me in a crown,Billie Eilish,1583345,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
198,changes,XXXTENTACION,1583331,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
199,I Don't Sleep (ft. Takeoff),Lil Wayne,1578436,https://open.spotify.com/track/03TzvVWdkVbLT9pzewYiDw
200,you were good to me,Jeremy Zucker,1576447,https://open.spotify.com/track/4CxFN5zON70B3VOPBYbd6P
Position,Track Name,Artist,Streams,URL
1,The Box,Roddy Ricch,17122376,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,Intentions (feat. Quavo),Justin Bieber,10615362,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
3,Life Is Good (feat. Drake),Future,10109586,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
4,No Time To Die,Billie Eilish,9765003,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
5,Blinding Lights,The Weeknd,7739722,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
6,ROXANNE,Arizona Zervas,7676669,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
7,Forever (feat. Post Malone & Clever),Justin Bieber,7631525,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
8,Blueberry Faygo,Lil Mosey,7538983,https://open.spotify.com/track/6wJYhPfqk3KGhHRG76WzOh
9,High Fashion (feat. Mustard),Roddy Ricch,7116753,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
10,Falling,Trevor Daniel,6715061,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,Circles,Post Malone,6333860,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
12,Don't Start Now,Dua Lipa,6325177,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
13,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,6310090,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
14,everything i wanted,Billie Eilish,6175996,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
15,Yummy,Justin Bieber,6142750,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
16,Godzilla (feat. Juice WRLD),Eminem,6067510,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
17,Dance Monkey,Tones And I,6046594,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
18,BOP,DaBaby,5785018,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
19,Suicidal,YNW Melly,5742690,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
20,WHATS POPPIN,Jack Harlow,5274061,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
21,Ballin' (with Roddy Ricch),Mustard,5212777,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
22,Say So,Doja Cat,5189246,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
23,Adore You,Harry Styles,4842947,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
24,To Die For,Sam Smith,4837891,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
25,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,4600714,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
26,Give No Fxk,Migos,4572101,https://open.spotify.com/track/6ZelF5APDN5r6XnFqcnvWR
27,Bandit (with YoungBoy Never Broke Again),Juice WRLD,4416268,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
28,You should be sad,Halsey,4386079,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
29,Woah,Lil Baby,4221755,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
30,My Oh My (feat. DaBaby),Camila Cabello,4174346,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
31,Someone You Loved,Lewis Capaldi,4162177,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
32,SUGAR,BROCKHAMPTON,4153769,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
33,OUT WEST (feat. Young Thug),JACKBOYS,4124332,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
34,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4064833,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
35,After Hours,The Weeknd,3868482,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
36,hot girl bummer,blackbear,3846571,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
37,Come Around Me,Justin Bieber,3738736,https://open.spotify.com/track/2o9LAypwGH4ctV0i9boo6d
38,bad guy,Billie Eilish,3664282,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
39,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,3634861,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
40,Futsal Shuffle 2020,Lil Uzi Vert,3571621,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
41,HIGHEST IN THE ROOM,Travis Scott,3523112,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
42,Lucid Dreams,Juice WRLD,3482384,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
43,Sunday Best,Surfaces,3472048,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
44,Breathe Deeper,Tame Impala,3471027,https://open.spotify.com/track/3LbZIhU0smEU5SUnxod4j4
45,"10,000 Hours (with Justin Bieber)",Dan + Shay,3431707,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
46,Might Not Give Up (feat. Young Thug),A Boogie Wit da Hoodie,3426402,https://open.spotify.com/track/4l2rsMfr20dj6nf6i6F3Y8
47,Habitual,Justin Bieber,3403693,https://open.spotify.com/track/40qyPyljksBEqlNw5sW37T
48,All Around Me,Justin Bieber,3382053,https://open.spotify.com/track/5Py8zRKGkZvgHniVVtvNCN
49,Robbery,Juice WRLD,3309888,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
50,VIBEZ,DaBaby,3298484,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
51,Tusa,KAROL G,3292298,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
52,Ignorantes,Bad Bunny,3291310,https://open.spotify.com/track/3wYRLYuO1M88d8woWUIxct
53,Second Emotion (feat. Travis Scott),Justin Bieber,3242692,https://open.spotify.com/track/1PnAx788sAvcI3ZxTlEyX8
54,death bed (coffee for your head),Powfu,3192575,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
55,No Idea,Don Toliver,3190624,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
56,Running Over (feat. Lil Dicky),Justin Bieber,3167883,https://open.spotify.com/track/75nKBP8jQu681pTNCtrEnn
57,when the party's over,Billie Eilish,3127140,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
58,GOODMORNINGTOKYO!,TOKYO’S REVENGE,3122236,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
59,Know Your Worth,Khalid,3095344,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
60,What A Man Gotta Do,Jonas Brothers,3084051,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
61,Sum 2 Prove,Lil Baby,3083718,https://open.spotify.com/track/2u3EyuCqqV31woqGvO9LBz
62,Get Me (feat. Kehlani),Justin Bieber,3067121,https://open.spotify.com/track/5VwwpU7KsLhgfbMEecedhJ
63,Suge,DaBaby,3020028,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
64,Heartless,The Weeknd,3003634,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
65,Available,Justin Bieber,2993077,https://open.spotify.com/track/1b6tPXXCV2fSNtR3SKWUQA
66,Me and My Guitar,A Boogie Wit da Hoodie,2989201,https://open.spotify.com/track/6cZH4rX1KTt1aJ3Ql6Ynja
67,Memories,Maroon 5,2957700,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
68,Run,Joji,2891532,https://open.spotify.com/track/6p8eEdiZLKJH8tcjGZuNTK
69,ORANGE SODA,Baby Keem,2832876,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
70,Money In The Grave (Drake ft. Rick Ross),Drake,2830873,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
71,Stain (feat. DaBaby),A Boogie Wit da Hoodie,2783556,https://open.spotify.com/track/0dIz1I7IwX5ardG47AHxCZ
72,Ransom,Lil Tecca,2738443,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
73,Before You Go,Lewis Capaldi,2731155,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
74,lovely (with Khalid),Billie Eilish,2711470,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
75,Borderline,Tame Impala,2702575,https://open.spotify.com/track/5hM5arv9KDbCHS0k9uqwjr
76,Goodbyes (Feat. Young Thug),Post Malone,2655561,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
77,Truth Hurts,Lizzo,2636468,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
78,MIDDLE CHILD,J. Cole,2630669,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
79,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,2587284,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
80,223's (feat. 9lokknine),YNW Melly,2584666,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
81,All Girls Are The Same,Juice WRLD,2574722,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
82,If the World Was Ending - feat. Julia Michaels,JP Saxe,2572347,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
83,Wow.,Post Malone,2568739,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
84,Watermelon Sugar,Harry Styles,2554541,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
85,Make No Sense,YoungBoy Never Broke Again,2533889,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
86,One More Year,Tame Impala,2532589,https://open.spotify.com/track/5ozqshq2dtU7SYCpCBu0NE
87,Confirmation,Justin Bieber,2511981,https://open.spotify.com/track/60brXKLTC15vK0av5gIldm
88,King Of My City,A Boogie Wit da Hoodie,2505105,https://open.spotify.com/track/3o0nkjyy6eZL5lZcEpvJec
89,July,Noah Cyrus,2497586,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
90,Lose You To Love Me,Selena Gomez,2485502,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
91,"I Do It (ft. Big Sean, Lil Baby)",Lil Wayne,2484357,https://open.spotify.com/track/1bRO28yzxgO3y3UmNR29TZ
92,Changes,Justin Bieber,2454901,https://open.spotify.com/track/521Os1SMlxmsoevsqyjNmJ
93,No Guidance (feat. Drake),Chris Brown,2451347,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
94,SLOW DANCING IN THE DARK,Joji,2442536,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
95,Good News,Mac Miller,2438294,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
96,Take It Out On Me,Justin Bieber,2430287,https://open.spotify.com/track/39nTNk5MfyiiRupTwn1iyC
97,Señorita,Shawn Mendes,2416713,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
98,Physical,Dua Lipa,2406160,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
99,E.T.A.,Justin Bieber,2393312,https://open.spotify.com/track/6PzOPrXx8tJEqace76yrv2
100,What If I Told You That I Love You,Ali Gatie,2378208,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
101,EARFQUAKE,"Tyler, The Creator",2331830,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
102,Thug Love,A Boogie Wit da Hoodie,2321976,https://open.spotify.com/track/4MzhmCOgPB7xb87f1CXjlA
103,me & ur ghost,blackbear,2304284,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
104,Rare,Selena Gomez,2303692,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
105,Murder On My Mind,YNW Melly,2303207,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
106,Baby (Lil Baby feat. DaBaby),Quality Control,2297636,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
107,Start Wit Me (feat. Gunna),Roddy Ricch,2295941,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu
108,Stuck In A Dream (feat. Gunna),Lil Mosey,2275595,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
109,Instant Destiny,Tame Impala,2259627,https://open.spotify.com/track/6WCXBUFa0z3l9DoOY3k5Xe
110,Camelot,NLE Choppa,2258699,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
111,Going Bad (feat. Drake),Meek Mill,2248002,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
112,Lost In Yesterday,Tame Impala,2246211,https://open.spotify.com/track/5JWPUEov2wlX7c0jhYZpeB
113,ocean eyes,Billie Eilish,2234238,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
114,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2229971,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
115,Jocelyn Flores,XXXTENTACION,2224019,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
116,Luv Is Art (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,2222671,https://open.spotify.com/track/0LVaWrTztFOuN7g7gcyLs8
117,Pop Out (feat. Lil Tjay),Polo G,2216342,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
118,Vete,Bad Bunny,2193749,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
119,Posthumous Forgiveness,Tame Impala,2179427,https://open.spotify.com/track/1KcOU0q9AMXV9xi4tSzzCc
120,SICKO MODE,Travis Scott,2177084,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
121,Maniac,Conan Gray,2172160,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
122,Hate Me (with Juice WRLD),Ellie Goulding,2162729,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
123,Yikes,Nicki Minaj,2160913,https://open.spotify.com/track/75dLEqanQTupF3dtP9exT5
124,That's What Love Is,Justin Bieber,2160382,https://open.spotify.com/track/2hLu8L8SNfCN4yKyPdX0h3
125,SAD!,XXXTENTACION,2129827,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
126,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2129268,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
127,Heartless (feat. Morgan Wallen),Diplo,2105088,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
128,F.N,Lil Tjay,2081309,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
129,Legends,Juice WRLD,2077950,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
130,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,2076931,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
131,I Fall Apart,Post Malone,2066032,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
132,rockstar (feat. 21 Savage),Post Malone,2061246,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
133,The London (feat. J. Cole & Travis Scott),Young Thug,2049388,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
134,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,2039167,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
135,Dior,Pop Smoke,2021971,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
136,At Least For Now,Justin Bieber,2018728,https://open.spotify.com/track/6VLkgf5YmLixsabdqiCVGU
137,I Don't Care (with Justin Bieber),Ed Sheeran,2017834,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
138,Is It True,Tame Impala,2000198,https://open.spotify.com/track/6RZmhpvukfyeSURhf4kZ0d
139,Broke In A Minute,Tory Lanez,1994200,https://open.spotify.com/track/2ZrAjMSmlbDIil0JaVgTHh
140,VALENTINO,24kGoldn,1991602,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
141,7 rings,Ariana Grande,1990371,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
142,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,1988337,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
143,One Man Band,Old Dominion,1975620,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
144,Beautiful Crazy,Luke Combs,1967744,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
145,Lose Control,MEDUZA,1942071,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
146,Whiskey Glasses,Morgan Wallen,1930119,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
147,Beautiful People (feat. Khalid),Ed Sheeran,1929813,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
148,Without Me,Halsey,1923910,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
149,Tomorrow's Dust,Tame Impala,1923808,https://open.spotify.com/track/666PdikRnUzdvjT9p5wWND
150,Enemies (feat. DaBaby),Post Malone,1910460,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
151,The Less I Know The Better,Tame Impala,1908742,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
152,Better Now,Post Malone,1906873,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
153,Lalala,Y2K,1901885,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
154,Lights Up,Harry Styles,1898061,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
155,Armed And Dangerous,Juice WRLD,1882471,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
156,Speechless,Dan + Shay,1876468,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
157,I Hope,Gabby Barrett,1875776,https://open.spotify.com/track/2Hc4t9N2nt37oO4sF9BynI
158,Sucker,Jonas Brothers,1873567,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
159,FML,Arizona Zervas,1868395,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf
160,Lottery (Renegade),K CAMP,1864687,https://open.spotify.com/track/4dZTZbmJBCCofAExHwefda
161,On Track,Tame Impala,1864627,https://open.spotify.com/track/0IuE6FnXPCdZ8NLuuvJRhb
162,Death,Trippie Redd,1861342,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y
163,Talk (feat. Disclosure),Khalid,1857077,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
164,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,1856180,https://open.spotify.com/track/6ztvsy3C6hPjVg9j4x1XKJ
165,goosebumps,Travis Scott,1843338,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
166,No Judgement,Niall Horan,1842900,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
