Unnamed: 0,Unnamed: 1,Unnamed: 2,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,Unnamed: 4
Position,Track Name,Artist,Streams,URL
32,Suge,DaBaby,4082244,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
33,Robbery,Juice WRLD,4038757,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
34,Woah,Lil Baby,4021843,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
35,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,3944348,https://open.spotify.com/track/7ntUbTIwmwOD6ygCMRZT6e
36,Lose You To Love Me,Selena Gomez,3934852,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
37,Ransom,Lil Tecca,3921230,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
38,Truth Hurts,Lizzo,3716353,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
39,223's (feat. 9lokknine),YNW Melly,3640307,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
40,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,3516323,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
41,GATTI,JACKBOYS,3379341,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g
42,Falling,Harry Styles,3373159,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
43,Money In The Grave (Drake ft. Rick Ross),Drake,3367045,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
44,Señorita,Shawn Mendes,3346681,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
45,"10,000 Hours (with Justin Bieber)",Dan + Shay,3298212,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
46,Stuck In A Dream (feat. Gunna),Lil Mosey,3291047,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
47,No Guidance (feat. Drake),Chris Brown,3280835,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
48,Goodbyes (Feat. Young Thug),Post Malone,3228563,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
49,Death,Trippie Redd,3140564,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y
50,MIDDLE CHILD,J. Cole,3021715,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
51,Wow.,Post Malone,3019364,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
52,Yellow Hearts,Ant Saunders,2927837,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
53,All Girls Are The Same,Juice WRLD,2922951,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
54,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,2922466,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
55,Camelot,NLE Choppa,2876047,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
56,Let Me Know (I Wonder Why Freestyle),Juice WRLD,2851530,https://open.spotify.com/track/3wwo0bJvDSorOpNfzEkfXx
