Position,Track Name,Artist,Streams,URL,Date,Unique ID,Year,Month,Day,Full_Year,Reformatted_Date
65,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,8343580,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,01.02.20,01.02.20_065,20,1,2,2020,20200102
66,Happier,Marshmello,8323023,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,01.02.20,01.02.20_066,20,1,2,2020,20200102
67,lovely (with Khalid),Billie Eilish,8225411,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,01.02.20,01.02.20_067,20,1,2,2020,20200102
68,Lights Up,Harry Styles,8182978,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,01.02.20,01.02.20_068,20,1,2,2020,20200102
69,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,8022267,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,01.02.20,01.02.20_069,20,1,2,2020,20200102
70,Yellow Hearts,Ant Saunders,7816424,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,01.02.20,01.02.20_070,20,1,2,2020,20200102
71,Roses - Imanbek Remix,SAINt JHN,7718200,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,01.02.20,01.02.20_071,20,1,2,2020,20200102
72,GATTI,JACKBOYS,7685470,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g,01.02.20,01.02.20_072,20,1,2,2020,20200102
73,It's You,Ali Gatie,7647143,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,01.02.20,01.02.20_073,20,1,2,2020,20200102
74,Wow.,Post Malone,7583437,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,01.02.20,01.02.20_074,20,1,2,2020,20200102
75,Piece Of Your Heart,MEDUZA,7528318,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,01.02.20,01.02.20_075,20,1,2,2020,20200102
76,Robbery,Juice WRLD,7413273,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,01.02.20,01.02.20_076,20,1,2,2020,20200102
77,Mean It,Lauv,7375362,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX,01.02.20,01.02.20_077,20,1,2,2020,20200102
78,Aventura,Lunay,7346877,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon,01.02.20,01.02.20_078,20,1,2,2020,20200102
79,Sucker,Jonas Brothers,7252733,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,01.02.20,01.02.20_079,20,1,2,2020,20200102
80,Shape of You,Ed Sheeran,7245188,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,01.02.20,01.02.20_080,20,1,2,2020,20200102
81,Bohemian Rhapsody - 2011 Mix,Queen,7130407,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,01.02.20,01.02.20_081,20,1,2,2020,20200102
