Position,Track Name,Artist,Streams,URL,Date,Unique ID,Year,Month,Day,Full_Year,Reformatted_Date
63,Vete,Bad Bunny,2664877,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,01.02.20,01.02.20_063,20,01,02,2020,20200102
64,Beautiful People (feat. Khalid),Ed Sheeran,2647825,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,01.02.20,01.02.20_064,20,01,02,2020,20200102
65,7 rings,Ariana Grande,2604475,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,01.02.20,01.02.20_065,20,01,02,2020,20200102
66,Hate Me (with Juice WRLD),Ellie Goulding,2602704,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,01.02.20,01.02.20_066,20,01,02,2020,20200102
67,Baby (Lil Baby feat. DaBaby),Quality Control,2591914,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J,01.02.20,01.02.20_067,20,01,02,2020,20200102
68,SUGAR,BROCKHAMPTON,2584458,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,01.02.20,01.02.20_068,20,01,02,2020,20200102
69,SICKO MODE,Travis Scott,2570543,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,01.02.20,01.02.20_069,20,01,02,2020,20200102
70,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,2554371,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw,01.02.20,01.02.20_070,20,01,02,2020,20200102
71,Into the Unknown,Idina Menzel,2529129,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W,01.02.20,01.02.20_071,20,01,02,2020,20200102
72,VALENTINO,24kGoldn,2517294,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q,01.02.20,01.02.20_072,20,01,02,2020,20200102
73,Pop Out (feat. Lil Tjay),Polo G,2517207,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1,01.02.20,01.02.20_073,20,01,02,2020,20200102
